en,fr,es,zh-CN,hi
confirm,confirmer,confirmar,确认,पुष्टि करना
fact,fait,hecho,事实,तथ्य
fate,destin,destino,命运,भाग्य
Items,Articles,Elementos,项目,सामान
conduct,conduire,conducta,执行,आचरण
Distribution,Distribution,Distribución,分配,वितरण
Resolve,Résoudre,Resolver,解决,संकल्प
von,von,Von,冯,वॉन
String,Chaîne,Cadena,细绳,डोरी
caught,attrapé,atrapó,捕捉,पकड़ा गया
Out,Dehors,Afuera,出去,बाहर
resources,ressources,recursos,资源,संसाधन
wrapper,emballage,envoltura,包装纸,आवरण
Unit,Unité,Unidad,单元,इकाई
jet,jet,chorro,喷射,जेट
Rights,Droits,Derecho,权利,अधिकार
Making,Fabrication,Haciendo,制作,निर्माण
nos,n °,nostido,nos,ओपन स्कूल
447,447,447,447,447
prepare,préparer,preparar,准备,तैयार करना
feature,fonctionnalité,característica,特征,विशेषता
Jorge,Jorge,Jorge,豪尔赫,जॉर्ज
sequence,séquence,secuencia,顺序,अनुक्रम
heed,attention,atención,注意,सावधानी
Hospital,Hôpital,Hospital,医院,अस्पताल
architecture,architecture,arquitectura,建筑学,वास्तुकला
subscribe,s'abonner,suscribir,订阅,सदस्यता लें
instance,exemple,instancia,实例,उदाहरण
testing,essai,pruebas,测试,परीक्षण
vents,évents,respiraderos,通风口,झरोखों
glass,verre,vaso,玻璃,काँच
bond,lier,vínculo,纽带,गहरा संबंध
hid,se cacher,escondite,隐藏,छुपा दिया
chunk,gros morceau,pedazo,大块,टुकड़ा
Writing,En écrivant,Escribiendo,写作,लिखना
activate,activer,activar,激活,सक्रिय करना
Signal,Signal,Señal,信号,संकेत
ity,ité,ity,性,अल्पसंख्यक
695,695,695,695,695
pet,animal de compagnie,mascota,宠物,पालतू
rank,rang,rango,秩,रैंक
1907,1907,1907,1907年,1907
635,635,635,635,635
lock,verrouillage,cerrar,锁,ताला
ways,manières,maneras,方式,तौर तरीकों
Juan,Juan,Juan,胡安,जुआन
Dip,Tremper,Aderezo,蘸,डुबोना
err,se tromper,errar,犯错,ग़लती होना
areas,zones,áreas,区域,क्षेत्रों
pies,tartes,pasteles,派,पाईज़
cod,morue,bacalao,鳕鱼,कॉड
Wow,Ouah,Guau,哇,बहुत खूब
plots,parcelles,tramas,情节,भूखंडों
man,homme,hombre,男人,आदमी
141,141,141,141,141
170,170,170,170,170
computer,ordinateur,computadora,电脑,कंप्यूटर
absorb,absorber,absorber,吸收,अवशोषित करना
Lastly,Dernièrement,Por último,最后,अंत में
Center,Centre,Centro,中心,केंद्र
357,357,357,357,357
Train,Former,Tren,火车,रेलगाड़ी
Women,Femmes,Mujer,女性,औरत
zur,zur,zur,Zur,जुर
partner,partenaire,pareja,伙伴,साथी
pine,pin,pino,松树,पाइन
vies,vélos,vías,VIE,vies
occurrence,occurrence,aparición,发生,घटना
Length,Longueur,Longitud,长度,लंबाई
again,encore,de nuevo,再次,दोबारा
des,des,desesperación,des,डेस
types,types,tipos,类型,प्रकार
Still,Toujours,Aún,仍然,फिर भी
commission,commission,comisión,委员会,आयोग
matrix,matrice,matriz,矩阵,मैट्रिक्स
cells,cellules,células,细胞,कोशिकाओं
cow,vache,vaca,奶牛,गाय
ether,éther,éter,醚,ईथर
613,613,613,613,613
FBI,FBI,FBI,联邦调查局,एफबीआई
commands,commandes,comandos,命令,आदेश
pair,paire,par,一对,जोड़ा
positions,positions,posición,位置,पदों
resource,ressource,recurso,资源,संसाधन
It's,C'est,Es,它是,इसका
went,est allé,fue,去了,गया
policy,politique,política,政策,नीति
unto,de,hasta,to,इधार
act,acte,acto,行为,कार्य
Jon,Jon,Jon,乔恩,जॉन
Mail,Mail,Correo,邮件,मेल
work,travail,trabajar,工作,काम
Del,Del,Deleño,del,डेल
reach,atteindre,alcanzar,抵达,पहुँचना
During,Pendant,Durante,期间,दौरान
display,afficher,mostrar,展示,प्रदर्शन
don't,ne le faites pas,no,不,नहीं
folk,populaire,gente,民间,लोक
ologies,Oologies,ologías,神学,ology
chants,chants,cántico,颂歌,मंत्र
wand,baguette magique,varita mágica,魔杖,वैंड
gage,jauge,calibrar,量规,पण
show,montrer,espectáculo,展示,दिखाओ
1967,1967,1967,1967年,1967
agree,accepter,aceptar,同意,सहमत
Super,Super,Súper,极好的,बहुत अच्छा
Digest,Digérer,Digerir,消化,संग्रह
axes,haches,hachas,轴,कुल्हाड़ियों
Gil,Gil,Gil,吉尔,गिल
loop,boucle,bucle,环形,कुंडली
letter,lettre,carta,信,पत्र
save,sauvegarder,ahorrar,节省,बचाना
Physics,Physique,Física,物理,भौतिक विज्ञान
Exceptions,Exceptions,Excepciones,例外,अपवाद
antics,bouffonneries,payasadas,滑稽动作,हरकतों
inherit,hériter,heredar,继承,इनहेरिट
theme,thème,tema,主题,विषय
sues,poursuites,demandar,起诉,मुकदमा
Simon,Simon,Simón,西蒙,साइमन
logging,enregistrement,explotación florestal,记录,काटना
Skill,Compétence,Habilidad,技能,कौशल
acre,acre,acre,英亩,एकड़
Paul,Paul,Pablo,保罗,पॉल
kit,trousse,equipo,成套工具,किट
Even,Même,Incluso,甚至,यहां तक ​​की
395,395,395,395,395
Cut,Couper,Cortar,切,काटना
assent,assentiment,asentir,同意,अनुमति
number,nombre,número,数字,संख्या
800,800,800,800,800
Cop,Flic,Policía,警察,पुलिस
Henry,Henri,Henry,亨利,हेनरी
Easy,Facile,Fácil,简单的,आसान
tails,queue,cruz,尾巴,पूंछ
commit,commettre,comprometerse,犯罪,प्रतिबद्ध
lots,beaucoup,lotes,很多,बहुत
Tool,Outil,Herramienta,工具,औजार
tail,queue,cola,尾巴,पूँछ
442,442,442,442,442
govern,gouverner,gobernar,治理,को नियंत्रित करने वाले
noise,bruit,ruido,噪音,शोर
dump,décharge,vertedero,倾倒,गंदी जगह
foot,pied,pie,脚,पैर
Choice,Choix,Elección,选择,पसंद
677,677,677,677,677
162,162,162,162,162
march,mars,marzo,行进,मार्च
1886,1886,1886,1886年,1886
latitude,latitude,latitud,纬度,अक्षांश
populate,peupler,poblar,填充,आबाद करना
Waiting,En attendant,Espera,等待,इंतज़ार में
People,Personnes,Gente,人们,लोग
mah,mah,mah,妈,mAh की
Non,Non,No,非,गैर
Services,Services,Servicios,服务,सेवाएं
oval,ovale,oval,椭圆形,अंडाकार
America,Amérique,América,美国,अमेरिका
Training,Entraînement,Capacitación,训练,प्रशिक्षण
Anthony,Anthony,Antonio,安东尼,एंथोनी
May,Peut,Puede,可能,मई
life,vie,vida,生活,ज़िंदगी
axe,hache,hacha,斧头,कुल्हाड़ी
Tuesday,Mardi,Martes,周二,मंगलवार
Names,Noms,Nombres,名称,नाम
renew,renouveler,renovar,更新,नवीकरण
train,former,tren,火车,रेलगाड़ी
Phone,Téléphone,Teléfono,电话,फ़ोन
1887,1887,1887,1887年,1887
stick,bâton,palo,戳,चिपकना
strings,cordes,instrumentos de cuerda,字符串,तार
weapon,arme,arma,武器,हथियार
Alexander,Alexandre,Alejandro,亚历山大,सिकंदर
You've,Vous,Tienes,你,आपने
Expect,Attendre,Esperar,预计,अपेक्षा करना
population,population,población,人口,जनसंख्या
selection,sélection,selección,选择,चयन
trip,voyage,viaje,旅行,यात्रा
202,202,202,202,202
rolling,roulement,laminación,滚动,रोलिंग
fruit,fruit,fruta,水果,फल
Rest,Repos,Descansar,休息,आराम
24%,24%,24%,24％,24%
There's,Il y a,Hay,有,वहाँ है
classes,classes,clases,课程,कक्षाओं
resolution,résolution,resolución,解决,संकल्प
ACS,ACS,Aca,ACS,एसीएस
Reading,En lisant,Lectura,阅读,पढ़ना
gem,gemme,joya,宝石,जीईएम
lise,lis,calmar,莉斯,लिसे
ground,sol,suelo,地面,मैदान
Git,Git,Git,git,गिटा
Era,Ère,Era,时代,युग
numbers,Nombres,números,数字,नंबर
1819,1819,1819,1819年,1819
Bueno,Bueno,Buito,布宜诺,बुएनो
deal,accord,trato,交易,सौदा
Space,Espace,Espacio,空间,अंतरिक्ष
wind,vent,viento,风,हवा
God,Dieu,Dios,上帝,ईश्वर
Convention,Convention,Convención,习俗,सम्मेलन
240,240,240,240,240
February,Février,Febrero,二月,फ़रवरी
Finish,Finition,Finalizar,结束,खत्म करना
Pen,Stylo,Bolígrafo,笔,कलम
epoch,époque,época,时代,युग
046,046,046,046,046
missions,missions,misiones,任务,मिशनों
jug,cruche,jarra,水罐,सुराही
Service,Service,Servicio,服务,सेवा
spaces,espaces,espacios,空间,खाली स्थान
lift,ascenseur,elevar,举起,उठाना
Carr,Carr,Carro,卡尔,कर्र
Gary,Gary,Gary,加里,गैरी
Change,Changement,Cambiar,改变,परिवर्तन
cant,ne peut pas,no poder,不能,नहीं कर सकता
694,694,694,694,694
Field,Champ,Campo,场地,मैदान
Here,Ici,Aquí,这里,यहाँ
1964,1964,1964,1964年,1964
Guard,Garde,Guardia,警卫,रक्षक
tell,dire,decir,告诉,कहना
rob,voler,robar,抢,लूटना
229,229,229,229,229
Sigma,Sigma,Sigma,西格玛,सिग्मा
mania,manie,manía,躁狂,उन्माद
below,ci-dessous,abajo,以下,नीचे
Activity,Activité,Actividad,活动,गतिविधि
features,caractéristiques,características,特征,विशेषताएँ
dismiss,rejeter,despedir,解雇,नकार देना
surface,surface,superficie,表面,सतह
reflect,refléter,reflejar,反映,प्रतिबिंबित होना
quantity,quantité,cantidad,数量,मात्रा
573,573,573,573,573
1972,1972,1972,1972,1972
mother,mère,madre,母亲,माँ
insert,insérer,insertar,插入,डालना
exclude,exclure,excluir,排除,बाहर करना
Berry,Baie,Baya,浆果,बेर
exchange,échange,intercambio,交换,अदला-बदली
734,734,734,734,734
styles,styles,estilos,样式,शैलियों
Cap,Capuchon,Tapa,帽,टोपी
Third,Troisième,Tercero,第三,तीसरा
content,contenu,contenido,内容,सामग्री
Camp,Camp,Acampar,营,शिविर
links,links,campo de golf,链接,लिंक
With,Avec,Con,和,साथ
Bird,Oiseau,Pájaro,鸟,चिड़िया
king,roi,rey,国王,राजा
Character,Personnage,Personaje,特点,चरित्र
Nick,Entaille,Mella,缺口,छेद
scan,balayage,escanear,扫描,स्कैन
while,alors que,mientras,尽管,जबकि
Unfortunately,Malheureusement,Desafortunadamente,很遗憾,दुर्भाग्य से
Direction,Direction,Dirección,方向,दिशा
fix,réparer,arreglar,使固定,हल करना
grab,saisir,agarrar,抓住,झपटना
rate,taux,tasa,速度,दर
149,149,149,149,149
efficient,efficace,eficiente,高效的,कुशल
1727,1727,1727,1727年,1727
measure,mesure,medida,措施,उपाय
mails,courrier,correos,邮件,मेल
Must,Doit,Debe,必须,अवश्य
Skip,Sauter,Saltar,跳过,छोडना
Baby,Bébé,Bebé,婴儿,बच्चा
106,106,106,106,106
1930,1930,1930,1930年,1930
channel,canal,canal,渠道,चैनल
word,mot,palabra,单词,शब्द
less,moins,menos,较少的,कम
dang,dang,dañar,ang,डांग
raising,élevage,levantamiento,升高,ऊपर उठाने
before,avant,antes,前,पहले
excel,exceller,sobresalir,Excel,एक्सेल
Detail,Détail,Detalle,细节,विवरण
redo,refaire,rehacer,重做,फिर से करना
amino,Amino,aminado,氨基,एमिनो
Interest,Intérêt,Interés,兴趣,दिलचस्पी
Far,Loin,Lejos,远的,दूर
vine,vigne,enredadera,藤,वाइन
King,Roi,Rey,国王,राजा
bits,bits,brocas,位,बिट्स
Image,Image,Imagen,图像,छवि
1927,1927,1927,1927年,1927
885,885,885,885,885
362,362,362,362,362
waiting,en attendant,espera,等待,इंतज़ार में
Test,Test,Prueba,测试,परीक्षा
titre,givre,titre,滴度,टाइट्रे
Night,Nuit,Noche,夜晚,रात
lick,lécher,lamer,舔,चाटना
Whatever,Peu importe,Lo que,任何,जो कुछ भी
mouse,souris,ratón,老鼠,चूहा
August,Août,Agosto,八月,अगस्त
Until,Jusqu'à,Hasta,直到,जब तक
seek,chercher,buscar,寻找,तलाश
agin,agin,contra,Agin,लिए पुन:
676,676,676,676,676
bench,banc,banco,长椅,बेंच
cent,cent,centavo,百分点,प्रतिशत
Nice,Bon,Lindo,好的,अच्छा
500,500,500,500,500
tips,conseils,consejos,尖端,सुझावों
fortune,fortune,fortuna,财富,भाग्य
pour,verser,derramar,倒,बहना
rules,règles,normas,规则,नियम
alia,Alia,Alia,阿里亚,बातों के साथ
Records,Enregistrements,Archivos,记录,अभिलेख
1-3,1-3,1-3,1-3,1-3
Split,Diviser,Dividir,分裂,विभाजित करना
notes,notes,notas,笔记,नोट
ends,fin,fines,结束,समाप्त होता है
pieces,pièces,piezas,件,टुकड़े
Parts,Parties,Regiones,部分,पार्ट्स
Constant,Constante,Constante,持续的,स्थिर
screen,écran,pantalla,屏幕,स्क्रीन
Probably,Probablement,Probablemente,大概,शायद
When,Quand,Cuando,什么时候,कब
Fill,Remplir,Llenar,充满,भरना
your,ton,su,你的,आपका
ESP,En particulier,Espíritu,尤其,ईएसपी
sleep,dormir,dormir,睡觉,नींद
stone,pierre,piedra,石头,पत्थर
